"counterpartName","transactionTimeUtc","amount","transactionType","transactionId"
"Priceline Pharmacy (Corrimal)","2024-06-12 23:14:46.839",-12.49,"CARD_TRANSACTION","061a8b4b-3911-475a-b91b-0fe8cecd9e47"
"Tyrepower (Gladesville)","2024-06-12 22:58:16.876",-156,"CARD_TRANSACTION","46994572-6a48-4985-b881-43406f33bcfb"
"Square","2024-06-12 22:54:26.195",-10.2,"CARD_TRANSACTION","3e89391c-4cee-4c50-885c-c088d2fa7015"
"Sharland Rd Milkbar","2024-06-12 22:24:48.740",-22.4,"CARD_TRANSACTION","5de26696-36a0-416b-9fb9-481d659880a4"
"Costco Wholesale (Marsden Park)","2024-06-12 22:09:52.409",-50,"CARD_TRANSACTION","2123d524-be7d-4e90-a464-e88cc8011864"
"AMP","2024-06-12 22:09:41.202",-4,"CARD_TRANSACTION","80fd7b2a-30f3-498b-942f-198c67fa4259"
"Costi's Fish & Chips (Barangaroo)","2024-06-12 21:43:23.208",-6.06,"CARD_TRANSACTION","eb054703-55b8-42c0-b83f-666b037e12cd"
"Cali Press (Quay Quarter)","2024-06-12 21:41:42.635",-21.68,"CARD_TRANSACTION","1615a68d-cc3f-47f6-b759-f8b8a2e4c96a"
"Coles (Jimboomba)","2024-06-12 21:39:06.440",-17.15,"CARD_TRANSACTION","3ad4ffb2-2ea7-4647-abbe-fa64acd921d4"
"William JRL Pty Ltd","2024-06-12 21:37:54.726",-11.2,"CARD_TRANSACTION","8346cb6c-7462-456c-8ad8-758c2a520255"
"Coles Express (Northmead)","2024-06-12 21:37:37.616",-11.5,"CARD_TRANSACTION","cf69ca6e-6491-432a-9367-e1c640b15ca8"
"Yakl*footent","2024-06-12 21:28:46.600",-38.98,"CARD_TRANSACTION","e489ae69-6fbb-45cc-ac43-75078788bc70"
"The Standard Market Company (Ferry Road)","2024-06-12 21:19:53.209",-11.3,"CARD_TRANSACTION","cf7bec70-0335-4af2-9bab-4dc1d54a6dff"
"7-Eleven (Rothwell)","2024-06-12 20:29:55.744",-39.96,"CARD_TRANSACTION","28bc43b0-23d7-4381-8e85-a0946a84b341"
"Starbucks (Rothwell)","2024-06-12 20:25:21.681",-24.97,"CARD_TRANSACTION","c48ab3ad-2f3b-4abe-9f43-f357e8c0395a"
"Starbucks (Rothwell)","2024-06-12 20:24:15.196",-19.4,"CARD_TRANSACTION","bfe85b40-fcf1-4dd3-a846-4ab9a836af7b"
"Afterpay","2024-06-12 17:02:37.768",-18.48,"CARD_TRANSACTION","ef6e4b81-d536-473d-801b-89ec74496ae6"
"PayPal (Pay in 4)","2024-06-12 16:45:11.614",-15.74,"CARD_TRANSACTION","bb4df473-0df4-4403-b647-6ed3bbbc7d0d"
"Afterpay","2024-06-12 16:20:43.717",-15.97,"CARD_TRANSACTION","dcfc3c8c-4f68-4a6b-ba84-52dcef57d9bd"
"Brotzeit (Baldivis)","2024-06-12 12:36:17.561",-46.28,"CARD_TRANSACTION","a8586962-ed10-4fc1-993c-417f9f1750f9"
"Circles.Life","2024-06-12 11:42:13.159",-35,"CARD_TRANSACTION","577d03ab-8e5d-4ed9-a3c5-d6d544873509"
"Woolworths (Yamanto)","2024-06-12 10:54:08.258",-50,"CARD_TRANSACTION","7850b7c1-a642-47ef-91b4-494fd1d444db"
"Woolworths (Stocklands Cairns)","2024-06-12 09:10:22.487",-34.4,"CARD_TRANSACTION","52272a12-272a-4f0a-b31b-ff7abf4a2265"
"The Good Grocer IGA (Shenton Park)","2024-06-12 08:52:16.110",-25.98,"CARD_TRANSACTION","34ea6cb7-14b2-4090-9eef-0ddcf4f33640"
"Alive Pharmacy (Westcourt)","2024-06-12 08:42:50.990",-35.47,"CARD_TRANSACTION","693ec7a3-3a6d-4ce2-b077-05340b841f2a"
"IGA (Rowville Lakes)","2024-06-12 08:02:08.566",-9.49,"CARD_TRANSACTION","f5004874-a26f-468b-aa89-4669b43613ea"
"AGL","2024-06-12 07:48:28.916",-50,"CARD_TRANSACTION","cf9e86f3-02bf-4e47-8fe4-4eed909c5e72"
"AGL","2024-06-12 07:45:43.386",-50,"CARD_TRANSACTION","3ac9aa79-46b8-45aa-aacb-1e2b361b1963"
"Dan Murphy's (Rowville)","2024-06-12 07:44:39.924",-16,"CARD_TRANSACTION","9015b9e4-6990-4867-befb-e7aad81c4713"
"Fresh & Save (Beerwah Shopping Village)","2024-06-12 07:44:23.236",-29.99,"CARD_TRANSACTION","73e42214-ea14-4add-86a4-95a492ea678e"
"Cloud9 Hair & Beauty","2024-06-12 07:26:22.267",-155,"CARD_TRANSACTION","97f93bae-788e-4453-8b81-b37ff1592b2c"
"BWS (Yeppoon Pacific Hotel)","2024-06-12 07:14:39.148",-36.9,"CARD_TRANSACTION","eb993461-8847-431b-99f0-9807508acd62"
"Woolworths (Yeppoon)","2024-06-12 07:03:20.288",-10.24,"CARD_TRANSACTION","4e695b4b-0087-4556-a957-34f20d78109b"
"PayPal","2024-06-12 05:43:06.609",-111.18,"CARD_TRANSACTION","7fe76c31-47fb-47b5-9704-ac658469e7bc"
"Woolworths (Pacific Pines Town Centre)","2024-06-12 05:40:29.356",-82.61,"CARD_TRANSACTION","ae2b18af-b20a-4415-954a-63242a4394ef"
"Terry White Chemmart (Pacific Pines)","2024-06-12 05:14:14.845",-45.76,"CARD_TRANSACTION","f98616a3-aaa2-404e-aef9-e1a1b3991e60"
